Timestamp,Download_Mbps,Upload_Mbps,Ping(Idle)_Latency_ms,Ping(Idle)_Jitter_ms,Packet_Loss,Server_Name,Server_Location,Download_Latency_ms,Upload_Latency_ms,Result_URL
"09/26 02:30:37",64.001208,20.005944,34.465,4.025,46.333333333333336,"IPA CyberLab","Bunkyo",38.483,42.683,"https://www.speedtest.net/result/c/d6853ca3-cd3d-4465-9091-95e75c6a16e0"
"09/26 02:40:33",37.850504,46.241456,40.75,4.344,32.333333333333336,"IPA CyberLab","Bunkyo",44.111,36.899,"https://www.speedtest.net/result/c/a936e6cc-34a4-4aaf-b811-8a80cb91e9e5"
"09/26 02:50:37",58.244544,36.869784,68.968,25.067,0.3333333333333333,"IPA CyberLab","Bunkyo",41.447,41.131,"https://www.speedtest.net/result/c/78a52989-3525-4827-b93f-fa1699ac52d1"
"09/26 03:00:37",56.252432,33.541176,39.028,5.884,69,"IPA CyberLab","Bunkyo",99.673,57.735,"https://www.speedtest.net/result/c/55113622-089e-44a6-9dc8-d3c9b32d1377"
"09/26 03:10:20",55.43356,40.03904,41.066,7.847,0.6211180124223602,"IPA CyberLab","Bunkyo",37.942,37.657,"https://www.speedtest.net/result/c/f70b8cf6-6567-4992-b90a-2049ef5b58d8"
"09/26 03:20:18",73.00168,36.089968,31.913,9.39,8.8,"IPA CyberLab","Bunkyo",37.946,35.989,"https://www.speedtest.net/result/c/a440547c-9397-4b9d-853d-f4af7d6b74a8"
"09/26 03:30:27",54.528128,44.72216,41.029,5.273,49.59349593495935,"IPA CyberLab","Bunkyo",40.245,34.893,"https://www.speedtest.net/result/c/0b22065f-4cad-4877-bc15-7cdb93333075"
"09/26 03:40:26",68.000144,23.551072,27.008,1.799,11.538461538461538,"IPA CyberLab","Bunkyo",37.881,37.731,"https://www.speedtest.net/result/c/ea411e6a-e12f-4415-8b73-2a41d896c247"
"09/26 03:50:24",75.371232,37.198968,42.072,7.126,43.18936877076412,"IPA CyberLab","Bunkyo",44.436,46.678,"https://www.speedtest.net/result/c/85e8adf7-993f-4629-b6f0-597331992e73"
"09/26 04:00:38",57.877288,10.224344,77.324,4.252,43.666666666666664,"IPA CyberLab","Bunkyo",99.164,234.856,"https://www.speedtest.net/result/c/e9b34846-938d-44a9-9d12-bb1bb0bf2370"
"09/26 04:10:21",39.620736,34.890488,40.993,4.293,0,"IPA CyberLab","Bunkyo",38.865,32.827,"https://www.speedtest.net/result/c/1b39cefb-1ca9-4832-9600-da17971d294a"
"09/26 04:20:35",53.110208,43.911704,53.661,18.213,0,"IPA CyberLab","Bunkyo",36.671,33.961,"https://www.speedtest.net/result/c/7e8ee2dd-832e-4a42-88fe-8d11d4d05148"
"09/26 04:30:29",54.299024,43.690096,41.141,3.022,25,"IPA CyberLab","Bunkyo",44.573,38.79,"https://www.speedtest.net/result/c/30feebce-7092-4369-bc50-bfa1f081315f"
"09/26 04:40:27",63.451912,55.247032,35.293,8.001,28,"IPA CyberLab","Bunkyo",39.03,34.079,"https://www.speedtest.net/result/c/9968d71b-c886-4fa9-8089-35f3fb17ac78"
"09/26 04:50:27",64.519504,21.21048,39.899,6.223,19.333333333333332,"IPA CyberLab","Bunkyo",44.344,39.439,"https://www.speedtest.net/result/c/6a376f7e-9d0c-4eca-981c-66e23d0c6c45"
"09/26 05:00:36",75.127744,30.212424,42.789,3.959,57.333333333333336,"IPA CyberLab","Bunkyo",43.427,35.082,"https://www.speedtest.net/result/c/13a52d55-0522-4ebe-a187-be1fa3e17b75"
"09/26 05:10:25",71.879888,45.510656,69.4,21.307,0,"IPA CyberLab","Bunkyo",46.324,35.881,"https://www.speedtest.net/result/c/aea4f749-a7ea-45cd-a42d-58ff9b37ff13"
"09/26 05:20:20",69.2328,35.110624,31.172,7.492,0,"IPA CyberLab","Bunkyo",39.168,36.236,"https://www.speedtest.net/result/c/4985a72a-f64d-4161-9d78-b4041e02442f"
"09/26 05:30:27",68.042488,32.534496,40.589,9.643,54,"IPA CyberLab","Bunkyo",43.39,42.05,"https://www.speedtest.net/result/c/fb565748-3684-4944-8274-47e8862a472e"
"09/26 05:40:27",38.375504,14.424592,37.308,11.245,0,"IPA CyberLab","Bunkyo",43.801,40.158,"https://www.speedtest.net/result/c/742582cc-4ffb-4888-9541-6273a20b9dd2"
"09/26 05:50:36",62.146472,28.881728,33.97,11.442,0,"IPA CyberLab","Bunkyo",37.944,32.499,"https://www.speedtest.net/result/c/80e5160b-8450-4b12-ab47-c775af8c66ca"
"09/26 06:00:36",33.8932,34.094824,39.198,1.778,17,"IPA CyberLab","Bunkyo",65.036,45.659,"https://www.speedtest.net/result/c/1517ed13-b450-48f5-afca-22221a809e93"
